name,address,city,postal,phone,website,email
West Coast Early Learning Centre,2795 184 St,Surrey,V3Z 9V2,778-984-3057,,
Thrive Kids Club Vcs,3496 Mons Dr,Vancouver,V5M 3E6,604-838-2430,,
Kiwassa Out Of School Care,2425 Oxford St,Vancouver,V5K 1M7,604-254-5401,,
Newton Learning Zone Ltd,13359 81 Ave,Surrey,V3W 3C5,778-927-5437,,
Wildflower Childcare,952 Drayton St,North Vancouver,V7L 2C6,778-990-7168,,
Tiny Hoppers Early Learning Willoughby Centre,A230-20689 Willoughby Town Centre Dr,Langley,V2Y 0X7,778-705-0569,,
Symmetry Early Learning Center Inc,109-2526 Yale Crt,Abbotsford,V2S 8G9,778-682-0913,,
Debbie's Daycare On Main,10309 Main St,Delta,V4C 2P3,604-250-7117,,
Lael Academy,5467 Hardy Crt,Burnaby,V5G 0A6,778-951-1993,,
Golden Sunshine Daycare Centre,1320 Seventh Ave,New Westminster,V3M 2K1,778-223-6676,,
Little Blossom Daycare,7283 Nelson Ave,Burnaby,V5J 4C2,604-433-5155,,
Little Dolphins Daycare Ltd,107-1135 Pipeline Rd,Coquitlam,V3B 0N3,604-345-2830,,
Garderie L'ile Aux Enfants,5445 Baillie St,Vancouver,V5Z 3M6,604-736-5056,,
Bee House Montessori Day Care Ltd,283 Hart St,Coquitlam,V3K 4B1,604-817-4584,,
Inspirations Montessori School,7980 Gray Ave,Burnaby,V5J 4A1,778-889-5083,,
One Two Buckle My Shoe Childcare Inc,5660 192 St,Surrey,V3S 2V7,778-574-1230,,
Blessed Generations Academy In Royal City,501 4Th Ave,New Westminster,V3L 1S2,604-618-4767,,
Nest Early Learning,8380 Elsmore Rd,Richmond,V7C 2A1,604-644-0971,,
Forest Friends Early Learning Center,6517 Claytonhill Grove,Surrey,V3S 7N4,604-831-6073,,
Autumn Childcare Centre,45768 Hocking Ave,Chilliwack,V2P 1B4,778-552-8012,,
Toddler Town Daycare,12371 96 Ave,Surrey,V3V 1W9,604-537-7386,,
La Paz Early Learning Center,3446 147A St,Surrey,V4P 0A7,604-910-1342,,
Do-Re-Mi Kids In Learning,1483 Cadena Crt,Coquitlam,V3E 0E5,604-468-9166,,
Bright Owlets Childcare And Learning Centre,320 43Rd Ave E,Vancouver,V5W 1T3,604-225-9240,,
Maple House Infant/Toddler Daycare,6451 Williams Rd,Richmond,V7E 1K6,778-668-5077,,
Grace Montessori Daycare,7588 Cariboo Rd,Burnaby,V3N 4A9,778-986-5168,,
Community Kids School Aged Care Inc,20050 53Rd Ave,Langley,V3A 3T9,778-240-9858,,
Bright Rainbow Child Care,"Unit A,C,D - 6235 136Th St",Surrey,V3X 1H3,604-590-6771,,
Butterfly Early Learning Centre,511 San Remo Dr,Port Moody,V3H 3S6,778-928-3839,,
Alpha Bees Childcare,1157 Falcon Dr,Coquitlam,V3E 2C2,604-472-0299,,
Hope Valley Childcare Centre,104-7093 King George Blvd,Surrey,V3W 5A2,604-593-8833,,
Cefa South Delta,202 4890 Canoe Pass Way,Tsawwassen,V4M 0B1,604-382-4274,,
Peach Blossom Childcare Centre,1196 21St St W,North Vancouver,V7P 2C8,778-885-9091,,
Learn N' Play Abbotsford,100-2525 mccallum Rd,Abbotsford,V2S 3R1,604-288-8271,,
Jessie's Tots Educare Centre B,4630 Northlawn Dr,Burnaby,V5C 3S1,778-928-9995,,
Early Learning Childcare Centre,6619 Brantford Ave,Burnaby,V5E 2R9,778-898-9593,,
Urban Academy,466 Rousseau St,New Westminster,V3L 3R3,604-524-2211,,
Aim Smart Childcare Centre,7153 King George Blvd,Surrey,V3W 5A4,778-513-7153,,
Wonder Years Daycare - Aldergrove,27330 28 Ave,Aldergrove,V4W 3K1,604-612-0439,,
Outdoor Adventurers,628 15Th St E,North Vancouver,V7L 2S2,778-340-1021,,
Cefa Early Learning,243-610 Sixth St,New Westminster,V3L 3C2,778-326-2332,,
Forest City Children's Centre,5855 Imperial St,Burnaby,V5J 1G4,604-433-2324,,
Little Cactus Daycare,9311 Kirkmond Cres,Richmond,V7E 1M7,778-882-8317,,
Brilliant Kids Montessori Childcare Centre,11706 96Th Ave,Delta,V4C 3W7,604-498-2128,,
Growing Hands Childcare Centre,1188 Eighth Ave,New Westminster,V3M 2R6,778-899-1797,,
Khalsa Childcare Centre (Ksn),6933 124 St,Surrey,V3W 3W6,604-897-0954,,
Creative Kids Learning Centers - Chilliwack,200 6640 Vedder Rd,Chilliwack,V2R 4E1,604-560-5002,,
Mongio Early Learning Center,600 Royal Ave,New Westminster,V3M 1J3,604-553-8988,,
Rain Or Shine Child Care Centre,3289 Matapan Cres,Vancouver,V5M 4A9,604-258-6593,,
St. Patrick's School After School Care,2850 Quebec St,Vancouver,V5T 3A9,604-879-4411,,
Lingo Rainbow Childcare Centre,6020 Dover Rd,Richmond,V7C 3L1,604-727-6758,,
Discovery Time Day Care Centre,15115 Roper Ave,White Rock,V4B 2E8,778-828-8267,,
Little Blossom Daycare - I/T Program,7128 Nelson Ave,Burnaby,V5J 4C1,604-433-5156,,
Kids Zone Child Care Centre Ltd,1115 51A St,Delta,V4M 2Y2,604-580-6151,,
Daycare For Multiple Intelligences,17209 62A Ave,Surrey,V3S 6V6,778-871-7145,,
Milky Way Childcare Centre,9483 134 St,Surrey,V3V 5S3,778-707-0072,,
Bright Owlets Childcare And Learning Centre 2,322 E 43Rd Ave,Vancouver,V5W 1T3,604-225-9240,,
Sakura Childcare The Third,6776 Gilley Ave,Burnaby,V5H 3W9,778-858-7216,,
West Coast Early Learning Centre,201-14016 32 Ave,Surrey,V4P 2J2,778-984-3057,,
Kids Zone Child Care Centre #3,9440 120Th St,Surrey,V3V 4B9,604-765-2075,,
Little Otters Preschool,5370 248Th St,Langley,V4W 1A7,604-857-7550,,
Rainbow Angels Infant Toddler Centre,5364 Opal Pl,Richmond,V7C 5B4,604-365-8128,,
Strong Foundations Learning South Surrey,301-15336 31 Ave,Surrey,V3Z 0X2,778-688-7861,,
Little Fish Daycare,2319 17Th Ave E,Vancouver,V5N 4Y1,604-336-9730,,
Barish Child Care Out-Of-School,2835 (B) Revelstoke Ct,Vancouver,V6T 1N8,604-837-9232,,
Pacific Spirit Out-Of-School Child Care Centre,5580 Osoyoos Cres,Vancouver,V6T 1X7,604-837-9232,,
Kids Zone Child Care Centre #4,1730 142 St,Surrey,V4A 6G7,604-580-6151,,
Little Dreamers,31150 Blueridge Dr,Abbotsford,V2T 5R2,604-614-5308,,
Gummy Bears Child Care,6288 Service St,Burnaby,V5H 1V8,778-927-8133,,
Monarch Montessori School,4405 8Th Ave W,Vancouver,V6R 2A3,604-563-9511,,
Creo Kids,1253 Johnston Rd,White Rock,V4B 3Y9,604-833-4096,,
Tiger Stripes Learning Center,2451 Ross Rd,Abbotsford,V4X 1J3,778-772-6289,,
I Kids Learning Centre,6966 195 St,Surrey,V4N 5Y6,778-855-1425,,
Miller Park Kidz Clubhouse,800 Egmont Ave,Coquitlam,V3J 4J8,778-868-3017,,
Montessori Beginnings Preschool And Kindergarten,21746 Lougheed Hwy,Maple Ridge,V2X 2S1,604-466-3184,,
Play N Learn Daycare,3839 Thurston St,Burnaby,V5H 1H9,604-617-8355,,
Kids Club Child Care Centre Ltd.,46129 Princess Ave,Chilliwack,V2P 2A8,604-795-2322,,
Central Sockeye Preschool,9435 Young Rd,Chilliwack,V2P 4S7,604-792-8539,,
Chee In A Tree Childcare,938 52Nd Ave W,Vancouver,V6P 1H3,604-618-8584,,
Deer Lake Seventh-Day Adventist School,5550 Gilpin St,Burnaby,V5G 2H6,604-816-5845,,
Wisdomtree Academy,105-15210 32 Ave,Surrey,V3Z 0R8,604-385-2882,,
Urban Kids Montessori - Fleetwood,201/210 - 8645 160 St,Surrey,V4N 1G4,604-372-2111,,
Polka Dot Fine Art & Education,205-800 mcbride Blvd,New Westminster,V3L 2B8,604-343-6644,,
Pinetree Childcare Centre,19083 69A Ave,Surrey,V4N 0A5,778-321-7819,,
Simply Kids Childcare Centre,20211 66Th Ave,Langley,V2Y 0L4,604-593-2266,,
Coal Harbour Kids Care,480 Broughton St,Vancouver,V6G 3H4,604-718-8229,,
Projectkids,2465 Crown St,Vancouver,V6R 3V9,236-518-1663,,
Hope Infant Toddler Group Daycare Ii,9691 mcburney Dr,Richmond,V6Y 3C5,778-628-3783,,
Abc Academy-Children's Learning Center Ltd-Uptown New West,201-615 Eighth St,New Westminster,V3M 3S3,604-805-2402,,
Toma's Montessori Childcare,7870 6Th St,Burnaby,V3N 3N3,778-773-8507,,
Saw-Whet Out-Of-School Child Care Centre,2850 A Salmo Ct,Vancouver,V6T 1N8,604-837-9232,,
Mini Miracles Toddler Centre,913 Madore Ave,Coquitlam,V3K 3B4,778-776-2351,,
Next Level Childcare Valley Fair,200-22709 Lougheed Hwy,Maple Ridge,V2X 2V5,604-380-4060,,
Kids R Us Early Learning Center,11600 Aztec St,Richmond,V6X 1H8,604-767-0439,,
Sandpiper,5955 17A Ave,Delta,V4L 1J7,236-883-1234,,
Next Prep Academy,4838 Hastings St,Burnaby,V5C 0J7,604-653-6398,,
Silver Ridge Montessori #2,18357 67A Ave,Surrey,V3S 1E5,604-366-8570,,
Little Hugs Daycare,110-28040 Fraser Hwy,Abbotsford,V4X 0C1,604-561-0444,,
Creative Moments Childcare Centre,102-7015 128 St,Surrey,V3W 4E1,604-417-1135,,
West Bay Saplings,3175 Thompson Pl,West Vancouver,V7V 3E3,778-838-0335,,
The Otta Daycare,1255 Ottaburn Rd,West Vancouver,V7S 2J7,778-863-8963,,
Beyond Elements Childcare Ltd.,5673 200Th St,Langley,V3A 1M7,778-863-4641,,
Nsnh - Jbcc Kids' Club,145 1St St W,North Vancouver,V7L 1C4,604-723-8880,,
Seafair Education Centre,4071 Francis Rd,Richmond,V7C 1J8,778-927-7210,,
Bluebirds Early Learning Childcare Inc,22580 Lougheed Hwy,Maple Ridge,V2X 2V1,604-479-2255,,
Green Tree Montessori Children's Centre,26489 Fraser Hwy,Aldergrove,V4W 3E2,604-625-4733,,
Tiny Sprouts Daycare Ltd,2606 Kingsway Ave,Port Coquitlam,V3C 1T6,604-725-3608,,
Little Koala Montessori Academy Delta,5267 Ladner Trunk Rd,Delta,V4K 1W4,778-999-9229,,
Lift Early Learning Centre,2485 20Th Ave W,Vancouver,V6L 1G6,604-738-7880,,
"Grand Kids Care, The (Tgk)",35431 mckee Rd,Abbotsford,V3G 3E4,778-536-5423,,
Westbridge Montessori Academy Ltd.,2490 W 37Th Ave,Vancouver,V6M 1P5,778-887-1061,,
Contemporary Kids Learning Centre Inc.,2621 Montrose Ave,Abbotsford,V2S 3T5,604-839-0511,,
Just Kiddies Childcare,103-2591 Panorama Dr,Coquitlam,V3E 2Y6,604-618-9876,,
Pi Academy Child Care,3440 Jervis St,Port Coquitlam,V3B 4P3,778-688-8320,,
Beyond School Inc,6-15531 24 Ave,Surrey,V4A 2J4,604-773-7597,,
Jericho Kids' Club 2 (General Gordon Schoolhouse),2268 Bayswater St,Vancouver,V6K 4P5,604-736-4080,,
Block 8 Academy - Moody Street,110 Moody St,Port Moody,V3H 2B9,778-893-9706,,
Baby Acorns,17399 2Nd Ave,Surrey,V3S 6R9,778-871-3043,,
Little Cactus Central Daycare,6580 Bouchard Ct,Richmond,V7C 5H4,604-780-6018,,
Kidzville Learning Center - Morgan Crossing,101-2388 156 St,Surrey,V4A 4V4,604-861-7861,,
Pure Play Child Care,5824 Riverside St,Abbotsford,V4X 1V1,604-226-3714,,
Metrotown Daycare,7250 Dow Ave,Burnaby,V5J 3X4,778-872-1239,,
Rothewood Academy White Rock,106-1715 152 St,Surrey,V4A 4N3,604-710-7510,,
A & Z Daycare Ltd.,14242 61A Ave,Surrey,V3X 0E5,604-512-0289,,
Learn N' Play North Langley,2-9497 201 St,Langley,V1M 4A5,604-389-2049,,
Tulip Childcare Center,427 E Columbia St,New Westminster,V3L 3X4,604-360-5556,,
Organic Early Learning,7535 Sixth St,Burnaby,V4N 3M2,604-765-9982,,
Lil' Grownups Daycare,947 Blue Mountain St,Coquitlam,V3J 4S9,778-960-8652,,
Silver Ridge Montessori,8376 170Th St,Surrey,V4N 4V2,604-315-1085,,
Creek Angels Daycare Inc.,14006 92Nd Ave,Surrey,V3V 1J5,236-978-1424,,
Bee Yourself Childcare,20555 56Th Ave,Langley,V3A 3Y9,604-619-9711,,
Qas Out Of School Care,821 Fairfax St,Coquitlam,V3J 5K7,604-939-1741,,
The King's Early Learning Centre,21783 76B Ave,Langley,V2Y 2S5,604-888-0969,,
Little Steps Learning Centre,438 Braemar Rd E,North Vancouver,V7N 1R1,778-319-5951,,
Rainbow Angels Infant Toddler Learning Center,5353 Opal Pl,Richmond,V7C 5B4,604-365-8128,,
Little Leaders Childcare Centre,1528 mccallum Rd,Abbotsford,V2T 3W2,604-217-1404,,
"Busy Bear Club Preschool, The",37290 Kilgard,Abbotsford,V3G 2H6,604-852-1260,,
Precious Early Years Childcare,733 Thirteenth St,New Westminster,V3M 4M6,604-515-2808,,
Happyland Early Learning Centre Cineplex,F-20090 91A Ave,Langley,V1M 3Y9,778-995-6997,,
Happy Ridge Early Learning Academy,101-21755 Lougheed Hwy,Maple Ridge,V2X 2S2,604-783-3066,,
Ssocc Southlands Multi-Age Daycare,6426 Dunbar St,Vancouver,V6N 1X6,604-377-8385,,
River Run Early Care & Learning Centre,10277 River Dr,Richmond,V6X 1Z2,778-828-9930,,
River Run Early Care And Learning Centre,10277 River Dr,Richmond,V6X 1Z2,778-828-9930,,
Fundamentals Childcare Centre Inc,24093 104 Ave,Maple Ridge,V2W 1J2,604-786-4615,,
Little Peeps Learning Centre,45467 Stevenson Rd,Chilliwack,V2R 2Z6,604-798-7996,,
Kidz Adventure Learning Centre,5165 Hardwick St,Burnaby,V5G 1P8,778-773-9997,,
Small Beginnings Preschool - Little Leaders Childcare,2975 Bradner Rd,Abbotsford,V4X 1K6,604-217-1404,,
Westwood Montessori Childcare (Partington),3537 Mcvicar Crt,Coquitlam,V3E 0M6,604-765-0966,,
Newport Childcare Center,265B Newport Dr,Port Moody,V3H 5C9,604-492-3337,,
Growing With Smiles Childhood Center Ltd.,27185 Fraser Hwy,Aldergrove,V4W 3R1,236-380-3772,,
B&D Montessori Learning Academy,1-2119 152 St,Surrey,V4A 4N7,236-513-8723,,
Little Marines Training Center,211-403 North Rd,Coquitlam,V3K 3V9,604-492-0988,,
Kidscool Early Learning Centre,1116 Como Lake Ave,Coquitlam,V3J 3N8,604-767-9726,,
Cloudberries,6897 120Th St,Delta,V4E 2A8,604-431-6072,,
North Star Montessori,1325 Keith Rd E,North Vancouver,V7J 1J3,604-980-1205,,
Alexandra Neighbourhood House Children's Centre At Pacific H,17148 26 Ave,Surrey,V3Z 0A4,604-535-0015,,
Tiny Hoppers Early Learning Langley City Centre,20570 56 Ave,Langley,V3A 3Z1,778-689-7799,,
Chinook 2,2881 Acadia Rd,Vancouver,V6T 1S1,604-837-9232,,
Cefa Morgan Crossing,104-15350 Croydon Dr,Surrey,V3Z 1H4,778-241-7917,,
"Scuola D'infanzia ""L'albero Magico""",3075 Slocan St,Vancouver,V5M 3E4,604-430-3337,,
Delbrook Wonderland Academy,120-3721 Delbrook Ave,North Vancouver,V7N 3Z4,778-340-9595,,
Busy Bee Montessori Children's House,5749 Elsom Ave,Burnaby,V5H 2Z8,604-603-5687,,
Sunset Preschool,6810 Main St,Vancouver,V5X 0A1,604-718-6512,,
We Care Childcare - Children's Learning Centre,602 12Th St,New Westminster,V3M 4J2,604-553-4064,,
Block 8 Academy - 106 Moody Street,106 Moody St,Port Moody,V3H 2B9,778-893-9706,,
Lift Early Learning Centre,4069 40Th Ave W,Vancouver,V6N 3B9,778-952-6808,,
Lord Tennyson Out Of School Care,2650 Maple St,Vancouver,V6J 2B2,604-733-5111,,
Little Valley 123 Childcare Centre Ltd,49190 Chilliwack Central Rd,Chilliwack,V2P 6H3,778-882-1360,,
Dreamkids Childcare Ltd. (Dream Location),201A-1194 Lansdowne Dr,Coquitlam,V3E 1J7,604-809-1823,,
Little Dino Childcare Centre,7929 19Th Ave,Burnaby,V3N 1E9,236-428-8878,,
Kiddos Clubhouse Daycare,2225 Clarke St,Port Moody,V3H 1Y6,778-302-1932,,
Woodward Hill - School Age,6082 142Nd St,Surrey,V3X 1C1,778-846-0921,,
Edgewood Elementary School,16666 23Rd Ave,Surrey,V3S 9X8,604-590-7801,,
Next Level Childcare Fraser Valley Inc.,2699 West Railway St,Abbotsford,V2S 2E7,604-380-4060,,
Douglas Out Of School Care Program,17325 2Nd Ave,Surrey,V3S 9P9,604-434-9101,,
Junior Einstein's Academy (Gateway) Ltd,13486 108Th Ave,Surrey,V3T 2K3,604-441-8781,,
Inspiring Minds Childcare,Unit K 5825 136Th St,Surrey,V3X 1J2,604-968-3888,,
Heartland Montessori Child Care,249 Dawe St,New Westminster,V3M 5N1,604-715-0050,,
Angel Wings Daycare Center,7444 Edmonds St,Burnaby,V3N 1A8,604-551-6090,,
Shreya Academic Centre Ltd.,3180 Crown Crt,Abbotsford,V2T 4J8,604-832-1880,,
Language Arts Early Learning,8695 10Th Ave,Burnaby,V3N 2S9,236-251-6951,,
Fun Zone Childcare,8358 133A St,Surrey,V3W 9E3,778-889-0023,,
Tiny Hoppers Early Learning Queensborough,F120 - 805 Boyd St,New Westminster,V3M 5G7,604-873-3921,,
Maddaugh Elementary Osc,19405 76Th Ave,Surrey,V4N 6C6,604-598-7987,,
Cefa - Langley City Centre,20121 Willowbrook Dr,Langley,V3A 5E6,604-306-1415,,
Riverside Childcare Centre 2 Ltd,2120 Salisbury Ave,Port Coquitlam,V3B 1Y1,604-354-1180,,
Tiny Scholars Inc.,100-2121 Clearbrook Rd,Abbotsford,V2T 4H6,604-744-0362,,
Tiny Hoppers South Surrey,15045 32Nd Ave,Surrey,V4P 0A2,604-385-6500,,
Creative Moments Childcare Centre,20178 72Nd Ave,Langley,V2Y 1S5,604-417-1135,,
Capitol Hill Children's Centre,5750 Pandora St,Burnaby,V5B 3V1,778-727-1310,,
New Leaf Learning And Childcare Centre,#100 - 31838 South Fraser Way,Abbotsford,V2T 1V3,604-613-1919,,
Canstone Ackroyd Daycare,8600 Ackroyd Rd,Richmond,V6X 3G1,604-279-1966,,
Bright Owlets Childcare And Learning Centre 3,985 E 39Th Ave,Vancouver,V5W 1K7,604-225-9240,,
P-Wee Early Learning Centre,4001 Hastings St,Burnaby,V5C 2J1,778-846-8666,,
Cefa Lions Gate,1721 Lions Gate Lane,North Vancouver,V7P 0C7,778-340-9525,,
Alphabetz Daycare,7929 120Th St,Delta,V4C 6P6,604-597-0398,,
Grandview Montessori School,16530 21A Ave,Surrey,V3Z 0V7,778-300-9753,,
Bright Butterfly Child Care Centre Ltd,12149 Harris Rd,Pitt Meadows,V3Y 2E6,778-928-3839,,
Cefa Early Learning Surrey - Nordel,200-8820 120 St,Surrey,V3V 0C9,778-368-7608,,
Discovery Time School Age Care,1568 George St,White Rock,V4B 3E8,778-828-8267,,
Blessed Generations Academy - Westwood Coquitlam,1294 Johnson St,Coquitlam,V3B 4T5,604-618-4767,,
Little Smiles Daycare Corp - 1,8546 144Th St,Surrey,V3W 5T7,604-722-6364,,
Playbox Childcare Centre Ltd,103&104-18733 52 Ave,Surrey,V3S 8E5,604-754-3799,,
Flying Fish Childcare Centre Inc.,953 13Th St E,North Vancouver,V7L 2N1,604-880-3822,,
Children's Reef Learning Center Ltd.,3722 Frances St,Burnaby,V5C 2N8,778-837-4672,,
Brainbridge Bilingual Education & Fine Arts Centre,2295 E 61,Vancouver,V5P 2K5,604-322-6830,,
Brainbridge Bilingual Education And Fine Arts Centre,2295 E 61,Vancouver,V5P 2K5,604-322-6830,,
Universal Kidz Montessori Childcare,5615 177B St,Surrey,V3S 4H9,604-372-3556,,
Lift Early Learning Centre,7768 Heather St,Vancouver,V6P 3R4,778-952-6808,,
Kiwassa In Norah Davis (Kind) Out Of School Care,2320 Franklin St,Vancouver,V5L 1S1,604-671-8435,,
Iplay Childcare,14012 103 Ave,Surrey,V3T 1S2,778-384-7362,,
Enjoy Learning Childcare,10454 Tamarack Cres,Maple Ridge,V2W 1B5,604-380-1906,,
Five Talents Childcare Center Ltd.,8500 Calder Rd,Richmond,V7C 3P2,778-968-1978,,
Service De Garde La Marelle,590 65Th Ave W,Vancouver,V6P 2P8,604-999-6914,,
Strathcona Montessori Group Child Care,377 Keefer St,Vancouver,V6A 0E4,604-569-2169,,
Olive Grove Oceanside,300-758 Harbourside Dr,North Vancouver,V7P 3R7,778-340-9330,,
Blue Spruce Montessori Childrens House,3302 25Th Ave E,Vancouver,V5R 1J8,604-375-4953,,
Starlight Child Care Centre,8486 16Th Ave,Burnaby,V3N 1S3,778-389-9669,,
Junior Einstein's Academy,10787 128 St,Surrey,V3T 3A2,604-719-1171,,
Fleetwood Early Learning Center,101&102-8431 160 St,Surrey,V4N 0V6,778-951-3352,,
Taylin Child Care - Fort Langley,9160 Church St,Langley,V1M 2R6,604-349-4066,,
Cefa Early Learning Abbotsford – Highstreet,3122 Mt Lehman Rd,Abbotsford,V2T 0C5,604-425-3800,,
Hollyburn Elementary Seamless Day Before And After School,1329 Duchess Ave,West Vancouver,V7T 1H5,604-981-1220,,
Bright Horizons Children’S Early Learning Center,5-1835 56 St,Delta,V4L 2B4,604-783-4462,,
Kids Canvas Childcare,7221 198B St,Langley,V2Y 1R9,604-767-5558,,
Growing Kids Childcare Centre - Morgan Crossing,16756 19 Ave,Surrey,V3Z 1A2,778-318-8142,,
Chilliwack Childrens Academy,101-5658 Vedder Rd,Chilliwack,V2R 3M9,778-882-1360,,
Delta Daycare Inc,7675 116A St,Delta,V4C 5Y3,778-558-8680,,
Secret Heart Academy,110&112-5769 201A St,Langley,V3A 8H9,604-427-1166,,
Stay 'N' Play Group Daycare,100-3310 Coast Meridian Rd,Port Coquitlam,V3B 3N5,778-285-5450,,
Don Moore Childcare,3392 Don Moore Dr,Coquitlam,V3E 0C5,604-500-0740,,
Kidz Adventure Learning Centre (Parkcrest),6138 Parkcrest Dr,Burnaby,V5B 2S9,778-872-3992,,
First Steps Preschool,1988 56 St,Delta,V4L 2B1,604-943-8244,,
Sprouts Early Learning,5300 44Th Ave,Delta,V4K 1C7,604-649-3675,,
Qayqayt Seamless Day,85 Merivale St,New Westminster,V3L 0G2,604-220-4481,,
The Giving Tree Child Care Center,311-15336 31 Ave,Surrey,V3Z 3W4,778-980-0086,,
Gummy Bears Child Care,6719 Brantford Ave,Burnaby,V5E 2R9,778-927-8133,,
Young Academics Club Early Learning Ltd,45846 Wellington Ave,Chilliwack,V2P 2C9,604-354-8797,,
Natura Montessori Academy,103-3010 152 St,Surrey,V4P 3N7,604-596-0547,,
Maple Treasure Children's Learning Centre Ltd,12081 201 St,Maple Ridge,V2X 3M3,778-839-6757,,
Willington Daycare,14693 108 Ave,Surrey,V3R 1V9,437-324-2625,,
Honey Bees Studio Daycare,7854 6Th St,Burnaby,V3N 3N3,604-527-6760,,
Watson Childcare Centre,45345 Watson Rd,Chilliwack,V2R 2H5,604-613-1148,,
St. Ann's Parish Daycare,33333 Mayfair Ave,Abbotsford,V2S 1P4,604-852-5602,,
Aristokids Center,46077 Victoria Ave,Chilliwack,V2P 2V1,778-358-9090,,
Toddler Kingdom Childcare 01,6754 142 St,Surrey,V3W 5M7,778-714-9800,,
Seksik Early Care And Learning Centre,570 Cordova St E,Vancouver,V6A 1L7,604-834-0220,,
Seksik Early Care And Learning Centre,570 E. Cordova Street,Vancouver,V6A 1L7,604-834-0220,,
Goodwin Academy Childcare,1-10468 Whalley Blvd,Surrey,V3T 4H5,604-518-7531,,
Wonderworld Montessori Academy-Metrotown,6390 Silver Ave,Burnaby,V5H 0E1,604-612-4254,,
The Backyard Daycare,2983 Palm Cres,Abbotsford,V2T 2G5,604-897-6927,,
Momentos De Ninos Childcare Ltd,5875 mckee St,Burnaby,V5J 2V4,778-865-9183,,
Valley Pine Learning Centre Inc,100-2485 West Railway St,Abbotsford,V2S 2E5,604-864-6424,,
Pebbles And Piaget Early Learning Walnut Grove,9451 202Nd St,Langley,V1M 3Y9,778-919-3797,,
Global Montessori Centre,8860 Hudson St,Vancouver,V6P 4N2,604-558-1150,,
Marlbrough Neighbourhood Care,5151 Sanders St,Burnaby,V5H 1T1,604-431-0400,,
Little Wonderland Childcare,7767 12Th Ave,Burnaby,V3N 2K6,778-885-9386,,
Lift Early Learning Centre,1518 W 68Th Ave,Vancouver,V6P 2V3,778-952-6808,,
Goodwin Academy Infant Toddler,13640 Grosvenor Rd,Surrey,V3R 5C9,604-518-7531,,
Goodwin Academy Early Learning Centre,13642 Grosvenor Rd,Surrey,V3R 5C9,604-518-7531,,
Kids Zone Child Care Centre - Bradner Elementary,5291 Bradner Rd,Abbotsford,V4X 2P5,778-239-2075,,
Pure Play Child Care Shaughnessy,6108-2850 Shaughnessy St,Port Coquitlam,V3C 6K5,604-854-0327,,
Garden House Infant And Toddlers Center Ltd.,529 13Th St E,North Vancouver,V7L 2M3,778-325-1016,,
Polka Dot Fine Art & Education,300-5761 Marine Way,Burnaby,V5J 0A6,604-724-4328,,
Cherub's Inn Daycare,8469 Cedar St,Mission,V4S 1A1,778-255-7699,,
Thrive Childcare Inc.,9800 mcnaught Rd,Chilliwack,V2P 6G2,604-819-0708,,
Fun Planet Childcare And Learning Centre,3540 Mahon Ave,North Vancouver,V7N 3T6,604-767-3512,,
Kings And Queens Child Care Centre Inc.,13508 106 Ave,Surrey,V3T 2C5,778-394-1291,,
Kids Learning Center,2797 50Th Ave E,Vancouver,V5S 1N6,778-628-3243,,
Captain Alpha Childcare,4304 Parker St,Burnaby,V5C 3C5,778-888-8132,,
Reach Developmental Preschool North Delta,11415 84Th Ave Delta,Delta,V4C 2L9,604-946-6622,,
Mulberry Tree Infant And Toddler Childcare,3784 Frances St,Burnaby,V5C 2N8,604-428-1733,,
Fundamentals Childcare Centre Inc,12030 Blakely Rd,Pitt Meadows,V3Y 1J6,778-670-6630,,
Little Cube Montessori Preschool & Kindergarten,106-3242 Westwood St,Port Coquitlam,V3C 3L8,604-475-0410,,
Red Apple Day Care Centre,32354 Marshall Rd,Abbotsford,V2T 1A4,778-669-0268,,
Little Lions Childcare,103-2955 Immel St,Abbotsford,V2S 7E2,778-347-0553,,
Kids Kingdom Early Learning Centre Ltd,106-2276 Clearbrook Rd,Abbotsford,V2T 2X5,778-956-9707,,
Twig +Owl/ Trillium,1321 Emerson Way,North Vancouver,V7H 2B7,604-929-5371,,
Little People's Community Preschool,2733 W 41St Ave,Vancouver,V6N 3C5,604-261-2219,,
Play And Learn Childcare Centre,4425 Saratoga Ct,Burnaby,V5H 1C8,604-258-9727,,
Kids Academy (2610),2610 St Johns St,Port Moody,V3H 3B6,604-353-3830,,
Bright Rainbow Child Care,B & C - 6225 136Th St,Surrey,V3X 1H3,604-590-6771,,
Goldstone Childcare Centres Inc,19160 70Th Ave,Surrey,V4N 5W6,604-729-0543,,
Happyland Infant And Toddler Daycare,6295 Broadway,Burnaby,V5B 2Y4,778-883-9030,,
Petite Girafe Montessori Academy,15977 28 Ave,Surrey,V3Z 0E5,604-385-5808,,
Baby To Superstar Daycare,2936 Valleyvista Dr,Coquitlam,V3E 2P4,604-518-9355,,
Power House Junior Kindergarten Ltd.,A - 7035 120Th St,Delta,V4E 2A9,604-417-0128,,
Ready Montessori Daycare,8060 Corless Pl,Richmond,V7C 4X4,778-803-9191,,
Creative Trails Preschool,20285 Dewdney Trunk Rd,Maple Ridge,V2X 3C9,604-861-9198,,
Launchpad Early Learning Centre,2813 Glen Dr,Coquitlam,V3B 2P6,778-320-8183,,
